DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,BARREIRAS DO PIAUÍ,Cerrado,33,0.0,1.0,-10.0329,-45.74027,93.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,32,0.0,1.0,-10.12124,-45.89311,25.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,32,0.0,1.0,-10.07592,-45.88845,35.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,MARANHÃO,ALTO PARNAÍBA,Cerrado,32,0.0,1.0,-10.07363,-45.88387,33.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,MONTE ALEGRE DO PIAUÍ,Cerrado,120,0.0,1.0,-9.65598,-45.3165,19.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,45,0.0,1.0,-10.232,-45.42857,29.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,45,0.0,1.0,-10.23014,-45.41443,25.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,54,0.0,1.0,-10.22099,-45.43017,53.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,53,0.0,1.0,-10.21914,-45.41601,21.5
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,63,0.0,1.0,-10.20999,-45.4318,54.8
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,64,0.0,1.0,-10.20929,-45.4371,24.1
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,63,0.0,1.0,-10.20735,-45.42293,42.3
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,56,0.0,1.0,-10.1898,-45.36219,35.6
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,58,0.0,1.0,-10.18861,-45.36765,16.6
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,53,0.0,1.0,-10.18797,-45.34805,19.0
2024/09/15 17:05:00,AQUA_M-T,Brasil,GOIÁS,FORMOSA,Cerrado,120,0.0,1.0,-15.9676,-47.32866,124.7
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,54,0.0,1.0,-10.18668,-45.35353,38.0
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SÃO GONÇALO DO GURGUÉIA,Cerrado,34,0.0,1.0,-10.0588,-45.42058,14.9
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SANTA FILOMENA,Cerrado,32,0.0,1.0,-9.4257,-45.73857,27.6
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SANTA FILOMENA,Cerrado,31,0.0,1.0,-9.42514,-45.74543,15.7
2024/09/15 17:07:00,AQUA_M-T,Brasil,PIAUÍ,SANTA FILOMENA,Cerrado,34,0.0,1.0,-9.42313,-45.73082,13.2
2024/09/15 17:07:00,AQUA_M-T,Brasil,BAHIA,BARREIRAS,Cerrado,118,0.0,1.0,-12.11457,-45.01661,18.5
2024/09/15 17:07:00,AQUA_M-T,Brasil,BAHIA,RIACHÃO DAS NEVES,Cerrado,120,0.0,1.0,-11.95035,-44.9077,25.1
